"","x"
"01_04_17",12616
"01_05_18",12117
"01_18_17",8117
"01_19_18",12651
"02_01_17",7858
"02_02_18",7944
"02_15_17",7197
"02_16_18",12125
"02_20_16",1
"02_22_16",0
"02_23_16",13
"02_25_16",0
"02_26_16",10703
"03_01_17",15346
"03_02_18",14233
"03_15_17",10944
"03_16_18",11445
"03_24_16",0
"03_25_16",12628
"03_26_16",10840
"03_27_16",9258
"03_29_17",12762
"04_03_16",6355
"04_03_18",11630
"04_10_16",6860
"04_12_17",12093
"04_16_18",9890
"04_17_16",6518
"04_24_16",1416
"04_26_17",8278
"04_27_18",11853
"05_01_16",1738
"05_08_16",8825
"05_10_17",10281
"05_11_18",12005
"05_23_18",11416
"05_24_17",18919
"06_07_17",6564
"06_08_18",10779
"06_21_17",9584
"07_05_17",8510
"07_19_17",5689
"08_02_17",3810
"08_16_17",10619
"08_30_16",11887
"08_30_17",7242
"09_13_16",11058
"09_13_17",15691
"09_27_17",12519
"09_28_16",10224
"10_11_17",13470
"10_12_16",10307
"10_26_16",8886
"10_27_17",11156
"11_09_16",17133
"11_10_17",10155
"11_22_16",22091
"11_24_17",8764
"12_07_16",11206
"12_08_17",9128
"12_21_16",8539
"12_22_17",13808
"BlankA",13335
"BlankB",16416
"BlankC",14217
"BlankD",11863
"BlankE",15046
"BlankF",16276
